CITY_COM_IND,CITY_COMMUNITY,ZIPCODES,NEIGHBORHOOD
1,Los Angeles,90011,"Central Alameda, Historic South-Central, South Park"
2,Sylmar,91342,Sylmar
3,Pacoima,91331,Pacoima
4,Los Angeles,90003,South Los Angeles
5,Los Angeles,90026,"Echo Park, Silver Lake"
6,Los Angeles,90037,"Vermont Square, South Los Angeles"
7,Reseda,91335,Reseda
8,San Pedro,90731,San Pedro
9,Los Angeles,90044,"Athens, Gramercy Park, Harbor Gateway, Vermont Knolls"
10,Los Angeles,90033,Boyle Heights
11,Los Angeles,90019,"Country Club Park, Mid-City, Miracle Mile"
12,Los Angeles,90006,"Harvard Heights, Koreatown, Pico-Union, Westlake"
13,Los Angeles,90027,Los Feliz
14,North Hollywood,91605,North Hollywood
15,Wilmington,90744,Wilmington
16,Van Nuys,91406,Van Nuys
17,North Hills,91343,North Hills
18,Panorama City,91402,Panorama City
19,Los Angeles,90018,"Jefferson Park, West Adams"
20,Los Angeles,90029,"East Hollywood, Little Armenia, Thai Town"
21,Los Angeles,90042,Highland Park
22,Los Angeles,90004,"Hancock Park, Larchmont, Los Feliz, Thai Town, Windsor Square"
23,Granada Hills,91344,Granada Hills
24,Sun Valley,91352,Sun Valley
25,Van Nuys,91405,Van Nuys
26,North Hollywood,91606,North Hollywood
27,Los Angeles,90016,"West Adams, Jefferson Park"
28,North Hollywood,91601,North Hollywood
29,Los Angeles,90007,"Exposition Park, University Park"
30,Los Angeles,90034,"Palms, Beverlywood, Cheviot Hills, Mar Vista"
31,Los Angeles,90057,Westlake
32,Los Angeles,90065,"Cypress Park, Mount Washington"
33,Los Angeles,90066,"Mar Vista, Palms, Venice"
34,Los Angeles,90047,"Chesterfield Square, South Los Angeles"
35,Chatsworth,91311,Chatsworth
36,Los Angeles,90015,"Fashion District, South Park"
37,Los Angeles,90023,Boyle Heights
38,Van Nuys,91401,Van Nuys
39,Los Angeles,90032,El Sereno
40,Los Angeles,90043,"Hyde Park, View Park-Windsor Hills"
41,Winnetka,91306,Winnetka
42,Canoga Park,91304,Canoga Park
43,Los Angeles,90031,"Lincoln Heights, Montecito Heights"
44,Los Angeles,90028,Hollywood
